Date,Opponent,Home/Road,Period,Time,Situation,G,A1,A2
2013-12-03,NYI,R,OT,3:44,ES,Crosby,,
2013-12-05,SJS,H,2,0:27,ES,Dupuis,Orpik,Crosby
2013-12-05,SJS,H,2,2:34,ES,Megna,Despres,
2013-12-05,SJS,H,2,5:27,ES,Kunitz,Crosby,Neal
2013-12-05,SJS,H,2,7:30,PPG,Kunitz,Neal,Crosby
2013-12-05,SJS,H,3,3:30,ES,Letang,Maatta,Vitale
2013-12-07,BOS,R,1,6:33,PPG,Kunitz,Crosby,Niskanen
2013-12-07,BOS,R,1,13:13,PPG,Neal,Niskanen,Despres
2013-12-09,CBJ,H,2,4:16,ES,Malkin,Jokinen,Engelland
2013-12-09,CBJ,H,3,8:52,ES,Crosby,Dupuis,Maatta
2013-12-13,NJD,H,1,0:41,ES,Dupuis,Kunitz,Crosby
2013-12-13,NJD,H,1,7:55,ES,Conner,Sutter,Vitale
2013-12-13,NJD,H,1,14:40,ES,Megna,Despres,Engelland
2013-12-14,DET,R,1,9:08,PPG,Crosby,Jokinen,Malkin
2013-12-14,DET,R,1,12:50,PPG,Malkin,Jokinen,
2013-12-14,DET,R,2,19:13,ES,Maatta,Kunitz,Malkin
2013-12-14,DET,R,3,14:33,ES,Crosby,Vitale,Conner
2013-12-16,TOR,H,1,0:39,ES,Conner,Dumoulin,Vitale
2013-12-16,TOR,H,3,13:57,ES,Crosby,Dupuis,Bortuzzo
2013-12-16,TOR,H,3,19:56,SHG,Sutter,,
2013-12-18,NYR,R,2,12:44,PPG,Kunitz,Jokinen,Crosby
2013-12-18,NYR,R,3,5:25,ES,Dupuis,Crosby,Kunitz
2013-12-18,NYR,R,3,6:26,ES,Sutter,Maatta,Niskanen
2013-12-19,MIN,H,1,0:49,ES,Kunitz,Dupuis,Crosby
2013-12-19,MIN,H,2,1:54,ES,Sutter,Maatta,Vitale
2013-12-19,MIN,H,2,3:33,PPG,Niskanen,Jokinen,Neal
2013-12-19,MIN,H,2,10:43,ES,Kunitz,Crosby,Niskanen
2013-12-19,MIN,H,3,7:54,PS,Maatta,,
2013-12-21,CGY,H,1,10:26,ES,Dupuis,Crosby,Kunitz
2013-12-21,CGY,H,1,11:45,ES,Zolnierczyk,Bortuzzo,Neal
2013-12-21,CGY,H,2,14:44,ES,Crosby,Kunitz,Despres
2013-12-21,CGY,H,2,18:55,ES,Niskanen,Crosby,Bortuzzo
2013-12-27,CAR,R,2,0:16,ES,Crosby,Neal,Maatta
2013-12-27,CAR,R,3,1:58,ES,Conner,Jokinen,Neal
2013-12-27,CAR,R,3,13:15,ES,Engelland,Orpik,Jokinen
2013-12-27,CAR,R,OT,1:03,ES,Neal,Jokinen,Engelland
2013-12-29,CBJ,R,1,4:55,PPG,Neal,Niskanen,Kunitz
2013-12-29,CBJ,R,2,8:34,ES,Neal,Crosby,
